current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,state,temperature,unit_of_measurement
,,update,update.power_distribution_card_update,power-distribution-card update,,,,off,,
,,update,update.energy_flow_card_plus_update,Energy Flow Card Plus update,,,,off,,
,,update,update.microsoft_365_to_do_update,Microsoft 365 - To Do update,,,,off,,
,,update,update.auto_entities_update,auto-entities update,,,,off,,
,,update,update.ipv64_update,IPv64 update,,,,off,,
,,update,update.plotly_graph_card_update,Plotly Graph Card update,,,,off,,
,,update,update.multiple_entity_row_update,Multiple Entity Row update,,,,off,,
,,update,update.todoist_card_update,Todoist Card update,,,,off,,
,,update,update.astroweather_update,AstroWeather update,,,,off,,
,,update,update.battery_entity_row_update,Battery Entity Row update,,,,off,,
,,update,update.developer_tools_update,Developer tools update,,,,off,,
,,update,update.o365_card_update,O365 Card update,,,,off,,
,,update,update.network_scanner_update,Network Scanner update,,,,off,,
,,update,update.custom_more_info_update,Custom-More-Info update,,,,off,,
,,update,update.anniversaries_update,Anniversaries update,,,,off,,
,,update,update.power_flow_card_update,Power Flow Card update,,,,off,,
,,update,update.wallpanel_update,WallPanel update,,,,off,,
,,update,update.bubble_card_update,Bubble Card update,,,,off,,
,,update,update.blitzortung_org_lightning_detector_update,Blitzortung.org Lightning Detector update,,,,off,,
,,update,update.energy_gauge_bundle_card_update,Energy Gauge Bundle Card update,,,,off,,
,,update,update.custom_ui_update,Custom-ui update,,,,off,,
,,update,update.slider_button_card_update,Slider Button Card update,,,,off,,
,,update,update.astroweather_card_update,AstroWeather Card update,,,,off,,
,,update,update.surveillance_card_update,surveillance-card update,,,,off,,
,,update,update.lightning_detector_card_update,Lightning Detector Card update,,,,off,,
,,update,update.pyscript_update,pyscript update,,,,off,,
,,update,update.better_thermostat_update,Better Thermostat update,,,,off,,
,,update,update.github_flexi_card_entity_row_update,Github Flexi Card / Entity Row update,,,,off,,
,,update,update.atomic_calendar_revive_update,Atomic Calendar Revive update,,,,off,,
,,update,update.youtube_update,youtube update,,,,off,,
,,update,update.powertodoist_card_update,PowerTodoist Card update,,,,off,,
,,update,update.lovelace_lock_card_update,Lovelace Lock Card update,,,,off,,
,,update,update.local_tuya_update,Local Tuya update,,,,off,,
,,update,update.netgear_plus_update,Netgear Plus update,,,,off,,
,,update,update.simple_weather_card_update,Simple Weather Card update,,,,off,,
,,update,update.sunsynk_power_flow_card_update,Sunsynk Power Flow Card update,,,,off,,
,,update,update.flex_table_highly_customizable_data_visualization_update,"Flex Table - Highly customizable, Data visualization update",,,,off,,
,,update,update.solar_optimizer_update,Solar Optimizer update,,,,off,,
,,update,update.ha_floorplan_your_imagination_almost_defines_the_limits_update,ha-floorplan 🖌🎨 | Your imagination (almost) defines the limits update,,,,off,,
,,update,update.power_wheel_card_update,Power wheel card update,,,,off,,
,,update,update.slider_entity_row_update,slider-entity-row update,,,,off,,
,,update,update.mqtt_discoverystream_alt_update,MQTT DiscoveryStream Alt update,,,,off,,
,,update,update.browser_mod_update,browser_mod update,,,,off,,
,,update,update.solar_bar_card_update,Solar Bar Card update,,,,off,,
,,update,update.config_template_card_update,Config Template Card update,,,,off,,
,,update,update.powercalc_update,Powercalc update,,,,off,,
,,update,update.vertical_stack_in_card_update,Vertical Stack In Card update,,,,off,,
,,update,update.home_maintenance_update,Home Maintenance update,,,,off,,
,,update,update.flightradar24_update,Flightradar24 update,,,,off,,
,,update,update.solar_gauge_card_update,Solar gauge card update,,,,off,,
,,update,update.kiosk_mode_update,Kiosk Mode update,,,,off,,
,,update,update.horizon_card_update,Horizon Card update,,,,off,,
,,update,update.node_red_companion_update,Node-RED Companion update,,,,off,,
,,update,update.netgear_wax_update,Netgear WAX update,,,,off,,
,,update,update.apexcharts_card_update,apexcharts-card update,,,,off,,
,,update,update.energy_sankey_card_update,Energy Sankey Card update,,,,off,,
,,update,update.load_shedding_update,Load Shedding update,,,,off,,
,,update,update.mushroom_better_sliders_update,Mushroom - Better Sliders update,,,,off,,
,,update,update.eskom_loadshedding_interface_update,Eskom Loadshedding Interface update,,,,off,,
,,update,update.battery_state_card_entity_row_update,Battery State Card / Entity Row update,,,,off,,
,,update,update.samsungtv_smart_update,SamsungTV Smart update,,,,off,,
,,update,update.navbar_card_update,Navbar card update,,,,off,,
,,update,update.circular_timer_card_update,Circular timer card update,,,,off,,
,,update,update.uptime_card_update,Uptime Card update,,,,off,,
,,update,update.sonoff_lan_update,Sonoff LAN update,,,,off,,
,,update,update.power_flow_card_plus_update,Power Flow Card Plus update,,,,off,,
,,update,update.mini_graph_card_update,mini-graph-card update,,,,off,,
,,update,update.battery_notes_update,Battery Notes update,,,,off,,
,,update,update.frigate_update,Frigate update,,,,off,,
,,update,update.gauge_card_update,gauge-card update,,,,off,,
,,update,update.stack_in_card_update,Stack In Card update,,,,off,,
,,update,update.layout_card_update,layout-card update,,,,off,,
,,update,update.card_tools_update,card-tools update,,,,off,,
,,update,update.energy_entity_row_update,Energy Entity row update,,,,off,,
,,update,update.room_summary_card_update,Room Summary Card update,,,,off,,
,,update,update.timer_bar_card_update,Timer Bar Card update,,,,off,,
,,update,update.microsoft_365_mail_update,Microsoft 365 - Mail update,,,,off,,
,,update,update.alexa_media_player_update,Alexa Media Player update,,,,off,,
,,update,update.smart_irrigation_update,Smart Irrigation update,,,,off,,
,,update,update.energy_overview_card_update,Energy Overview Card update,,,,off,,
,,update,update.mini_climate_card_update,mini climate card update,,,,off,,
,,update,update.banner_card_update,Banner Card update,,,,off,,
,,update,update.ai_automation_suggester_update,AI Automation Suggester update,,,,off,,
,,update,update.logbook_card_update,Logbook Card update,,,,off,,
,,update,update.weather_radar_card_update,Weather Radar Card update,,,,off,,
,,update,update.state_switch_update,state-switch update,,,,off,,
,,update,update.mushroom_dashboard_strategy_update,Mushroom Dashboard Strategy update,,,,off,,
,,update,update.spotify_lovelace_card_update,Spotify Lovelace Card update,,,,off,,
,,update,update.home_assistant_entity_visualizer_update,Home Assistant Entity Visualizer update,,,,off,,
,,update,update.canvas_gauge_card_update,Canvas Gauge Card update,,,,off,,
,,event,event.barkiehome_update_event,BarkieHome Update event,,,,unknown,,
,motion,binary_sensor,binary_sensor.sonoff_a4800986e6,Front Door Motion Sensor,,,,off,,
,moisture,binary_sensor,binary_sensor.sonoff_a4800e446e_moisture,SNZB-05P Moisture,,,,off,,
,motion,binary_sensor,binary_sensor.sonoff_a48005596e,Gang Motion Sensor,,,,unavailable,,
,door,binary_sensor,binary_sensor.sonoff_a4800d7025,Back Door Sensor,,,,on,,
,door,binary_sensor,binary_sensor.sonoff_a480098890,Front Door Sensor,,,,on,,
,door,binary_sensor,binary_sensor.sonoff_1000fd4860,Salon Front Door Sensor,,,,off,,
,door,binary_sensor,binary_sensor.sonoff_100150e8d2,Braai Door Sensor,,,,on,,
,door,binary_sensor,binary_sensor.sonoff_100150eae4,Garage Mid Door Sensor,,,,off,,
,door,binary_sensor,binary_sensor.sonoff_1002357bda,Braai Door Sensor New,,,,off,,
,door,binary_sensor,binary_sensor.sonoff_1002357619,Study Window 1,,,,off,,
,,remote,remote.sonoff_100148ec9b,RFBridge433,,,,unavailable,,
,temperature,sensor,sensor.sonoff_a4800986dd_temperature,Bedroom Temperature/Humidity Sensor Temperature,,,,20.65,,°C
,humidity,sensor,sensor.sonoff_a4800986dd_humidity,Bedroom Temperature/Humidity Sensor Humidity,,,,66.38,,%
,battery,sensor,sensor.sonoff_a4800986dd_battery,Bedroom Temperature/Humidity Sensor Battery,,,,69,,%
,battery,sensor,sensor.sonoff_a4800986e6_battery,Front Door Motion Sensor Battery,,,,8,,%
,temperature,sensor,sensor.sonoff_a48008e4cc_temperature,Power Room Temperature/Humidity Sensor Temperature,,,,28.53,,°C
,humidity,sensor,sensor.sonoff_a48008e4cc_humidity,Power Room Temperature/Humidity Sensor Humidity,,,,43.13,,%
,battery,sensor,sensor.sonoff_a48008e4cc_battery,Power Room Temperature/Humidity Sensor Battery,,,,83,,%
,battery,sensor,sensor.sonoff_a4800e446e_battery,SNZB-05P Battery,,,,100,,%
,battery,sensor,sensor.sonoff_a48005596e_battery,Gang Motion Sensor Battery,,,,unavailable,,%
,battery,sensor,sensor.sonoff_a4800d7025_battery,Back Door Sensor Battery,,,,37,,%
,battery,sensor,sensor.sonoff_a480098890_battery,Front Door Sensor Battery,,,,78,,%
,voltage,sensor,sensor.sonoff_1000fd4860_battery_voltage,Salon Front Door Sensor Battery Voltage,,,,2.563,,V
,voltage,sensor,sensor.sonoff_100150e8d2_battery_voltage,Braai Door Sensor Battery Voltage,,,,2.333,,V
,voltage,sensor,sensor.sonoff_100150eae4_battery_voltage,Garage Mid Door Sensor Battery Voltage,,,,2.535,,V
,current,sensor,sensor.sonoff_10023b8a40_current,Study AirCon Plug Current,,,,0.0,,A
,power,sensor,sensor.sonoff_10023b8a40_power,Study AirCon Plug Power,,,,0.0,,W
,voltage,sensor,sensor.sonoff_10023b8a40_voltage,Study AirCon Plug Voltage,,,,235.03,,V
,battery,sensor,sensor.sonoff_1002357bda_battery,Braai Door Sensor New Battery,,,,100,,%
,battery,sensor,sensor.sonoff_1002357619_battery,Study Window 1 Battery,,,,unavailable,,%
,current,sensor,sensor.sonoff_10023b8a5d_current,Fan Plug Current,,,,0.0,,A
,power,sensor,sensor.sonoff_10023b8a5d_power,Fan Plug Power,,,,0.0,,W
