current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,restored,state,temperature,unit_of_measurement
,,sensor,sensor.get_hacs_newest_version_2,Get HACS Newest version,,,,,1.3.1,,
,,sensor,sensor.get_hacs_cpu_percent_2,Get HACS CPU percent,,,,,unavailable,,%
,,sensor,sensor.get_hacs_memory_percent_2,Get HACS Memory percent,,,,,unavailable,,%
,,sensor,sensor.file_editor_version,File editor Version,,,,,5.8.0,,
,,sensor,sensor.file_editor_newest_version,File editor Newest version,,,,,5.8.0,,
,,sensor,sensor.file_editor_cpu_percent,File editor CPU percent,,,,,0.01,,%
,,sensor,sensor.file_editor_memory_percent,File editor Memory percent,,,,,0.38,,%
,,sensor,sensor.matter_server_version,Matter Server Version,,,,,8.1.1,,
,,sensor,sensor.matter_server_newest_version,Matter Server Newest version,,,,,8.1.1,,
,,sensor,sensor.matter_server_cpu_percent,Matter Server CPU percent,,,,,0.37,,%
,,sensor,sensor.matter_server_memory_percent,Matter Server Memory percent,,,,,0.73,,%
,,sensor,sensor.samba_share_version,Samba share Version,,,,,12.5.4,,
,,sensor,sensor.samba_share_newest_version,Samba share Newest version,,,,,12.5.4,,
,,sensor,sensor.samba_share_cpu_percent,Samba share CPU percent,,,,,5.64,,%
,,sensor,sensor.samba_share_memory_percent,Samba share Memory percent,,,,,0.54,,%
,,sensor,sensor.terminal_ssh_version,Terminal & SSH Version,,,,,9.20.1,,
,,sensor,sensor.terminal_ssh_newest_version,Terminal & SSH Newest version,,,,,9.20.1,,
,,sensor,sensor.terminal_ssh_cpu_percent,Terminal & SSH CPU percent,,,,,0.0,,%
,,sensor,sensor.terminal_ssh_memory_percent,Terminal & SSH Memory percent,,,,,0.03,,%
,,sensor,sensor.vlc_version,VLC Version,,,,,0.3.1,,
,,sensor,sensor.vlc_newest_version,VLC Newest version,,,,,0.3.1,,
,,sensor,sensor.vlc_cpu_percent,VLC CPU percent,,,,,0.0,,%
,,sensor,sensor.vlc_memory_percent,VLC Memory percent,,,,,0.08,,%
,,sensor,sensor.adguard_home_version,AdGuard Home Version,,,,,6.0.1,,
,,sensor,sensor.adguard_home_newest_version,AdGuard Home Newest version,,,,,6.0.1,,
,,sensor,sensor.adguard_home_cpu_percent,AdGuard Home CPU percent,,,,,0.01,,%
,,sensor,sensor.adguard_home_memory_percent,AdGuard Home Memory percent,,,,,0.79,,%
,,sensor,sensor.appdaemon_version,AppDaemon Version,,,,,0.17.12,,
,,sensor,sensor.appdaemon_newest_version,AppDaemon Newest version,,,,,0.17.12,,
,,sensor,sensor.appdaemon_cpu_percent,AppDaemon CPU percent,,,,,1.08,,%
,,sensor,sensor.appdaemon_memory_percent,AppDaemon Memory percent,,,,,0.86,,%
,,sensor,sensor.grafana_version,Grafana Version,,,,,11.0.0,,
,,sensor,sensor.grafana_newest_version,Grafana Newest version,,,,,11.0.0,,
,,sensor,sensor.grafana_cpu_percent,Grafana CPU percent,,,,,unavailable,,%
,,sensor,sensor.grafana_memory_percent,Grafana Memory percent,,,,,unavailable,,%
,,sensor,sensor.influxdb_version,InfluxDB Version,,,,,5.0.2,,
,,sensor,sensor.influxdb_newest_version,InfluxDB Newest version,,,,,5.0.2,,
,,sensor,sensor.influxdb_cpu_percent,InfluxDB CPU percent,,,,,0.1,,%
,,sensor,sensor.influxdb_memory_percent,InfluxDB Memory percent,,,,,3.06,,%
,,sensor,sensor.log_viewer_version,Log Viewer Version,,,,,0.17.1,,
,,sensor,sensor.log_viewer_newest_version,Log Viewer Newest version,,,,,0.17.1,,
,,sensor,sensor.log_viewer_cpu_percent,Log Viewer CPU percent,,,,,unavailable,,%
,,sensor,sensor.log_viewer_memory_percent,Log Viewer Memory percent,,,,,unavailable,,%
,,sensor,sensor.motioneye_version,motionEye Version,,,,,0.22.3,,
,,sensor,sensor.motioneye_newest_version,motionEye Newest version,,,,,0.22.3,,
,,sensor,sensor.motioneye_cpu_percent,motionEye CPU percent,,,,,0.0,,%
,,sensor,sensor.motioneye_memory_percent,motionEye Memory percent,,,,,0.45,,%
,,sensor,sensor.mqtt_io_version,MQTT IO Version,,,,,0.4.0,,
,,sensor,sensor.mqtt_io_newest_version,MQTT IO Newest version,,,,,0.4.0,,
,,sensor,sensor.mqtt_io_cpu_percent,MQTT IO CPU percent,,,,,unavailable,,%
,,sensor,sensor.mqtt_io_memory_percent,MQTT IO Memory percent,,,,,unavailable,,%
,,sensor,sensor.node_red_version,Node-RED Version,,,,,20.1.0,,
